,v_ref,t_setup_bg,t_setup_gm,p_supply
0,1.208484458243043,2.738805913040067e-06,8.901201185450925e-09,-0.0013538503938473536
1,1.2062886169489462,2.0066130768203844e-06,6.733472310599017e-09,-0.001514197288013524
2,1.2083158623296588,2.4896172471242363e-06,8.2816654120698e-09,-0.0014026388600101634
3,1.2054157634104847,2.808057128460315e-06,1.210003572370731e-08,-0.0012139692777553943
4,0.023662952892928527,-4.854987408318246e-10,8.053614464665205e-09,-0.00045588465740183847
5,0.018421865245017183,-4.888372103352111e-10,9.960505788890855e-09,-0.0003810752220539424
6,0.020004818543734555,-4.879480324363797e-10,1.0857286615521354e-08,-0.0003545965619772359
7,0.05256014003948103,-4.6910850062008e-10,1.4528005686363213e-08,-0.00030101782777187643
8,0.23219736218813022,-3.554727484796816e-10,7.145929961716057e-09,-0.0008077241897768339
9,0.0796133411422074,-4.559874312021529e-10,8.649002740919142e-09,-0.0005892974409713727
10,0.07469826491228433,-4.590274534239196e-10,9.45850693013666e-09,-0.000548805490790325
11,0.11921694332863964,-4.359375282196203e-10,1.2707740960760428e-08,-0.0004666410740610985
12,1.2063030654020637,1.7712565377715446e-06,6.3688700257674046e-09,-0.0018796594904223467
13,1.207331019770066,2.3599283486554557e-06,7.824078636688855e-09,-0.0017405188164147838
14,1.2070431315198444,2.686159177654853e-06,8.307832633774718e-09,-0.0016874267405326173
15,0.4279735634872472,-2.2856263337338049e-10,1.1335437035623227e-08,-0.0008657373369393679
16,0.024177142484499398,-4.851824790545372e-10,8.054712313268084e-09,-0.0004560924813524138
17,0.0186427051359751,-4.887025239708518e-10,9.956281797407034e-09,-0.00038141395191937827
18,0.020229967810993645,-4.87811461258859e-10,1.0857442686838335e-08,-0.00035473866331382103
19,0.053077826851357174,-4.687886649715013e-10,1.4541146479646936e-08,-0.0003015065312687789
20,1.2083640325831226,2.918766649862999e-06,7.154091828091171e-09,-0.0015652994427729943
21,0.08345454629838778,-4.538026083095043e-10,8.651128929321513e-09,-0.0005920573283644453
22,0.07740269087690899,-4.5749884526788476e-10,9.458990952513585e-09,-0.000550768725071421
23,0.12193218960584873,-4.344509510768698e-10,1.2713374609751592e-08,-0.00046929405413245236
24,1.208581056642362,1.7038661826250509e-06,6.3710223291334965e-09,-0.0018815751881693964
25,1.2118851346317225,2.2267071544012477e-06,7.824856014801066e-09,-0.0017438531619726892
26,1.2126052534374114,2.5104669887554874e-06,8.299128907552606e-09,-0.0016922977151502157
27,1.2114325119620395,2.8716223148026993e-06,1.1340468222927767e-08,-0.001515062140803705
28,0.03339255278182303,-4.798153933536624e-10,8.022163990869068e-09,-0.0004518675675440979
29,0.02463364799207373,-4.852651371272516e-10,9.942403403104253e-09,-0.0003780569924355642
30,0.02669994508238851,-4.841154447045129e-10,1.0823644494996946e-08,-0.00035264340929176056
31,0.07106354314884986,-4.5841799219300066e-10,1.4492929287872303e-08,-0.00030174946424490665
32,1.2047421627938013,2.3923080998027787e-06,7.142218512549505e-09,-0.0013595249770240354
33,1.205913805514739,2.9645351751797154e-06,8.623016961859502e-09,-0.0012598725189569976
34,0.1479491176473108,-4.191508802990944e-10,9.430656247238061e-09,-0.0005771692354954832
35,0.19546790707917344,-3.917602208113753e-10,1.2662971020985334e-08,-0.0004894213285074764
36,1.2049528349801528,1.4358506953605462e-06,6.358715103090775e-09,-0.0016520253784320128
37,1.2061397982494628,1.6366301675066163e-06,7.769584280674924e-09,-0.0015208968739957697
38,1.205951108143159,1.7275907676662239e-06,8.265107483841306e-09,-0.001470786081316198
39,1.2016338291170223,1.709361339849772e-06,1.1302985845958834e-08,-0.00129834007317807
40,0.034769440238997064,-4.78967627868016e-10,8.018547427004646e-09,-0.00045264232354901127
41,0.025168253627565477,-4.849347089037834e-10,9.938475840339847e-09,-0.000378093543495976
42,0.02722506253626847,-4.837951476740438e-10,1.0824020550815108e-08,-0.0003529242954197352
43,0.07241834842056913,-4.5760104516106877e-10,1.448693158162693e-08,-0.00030237251805717536
44,1.2063379122936748,2.3313023626014556e-06,7.143199090818959e-09,-0.0013605287439411938
45,1.209585038392603,2.8392394319896808e-06,8.596984559394246e-09,-0.0012615785757100631
46,0.1920993832671778,-3.9032865304997893e-10,9.423456144993701e-09,-0.0006013713761024352
47,0.2148334828416505,-3.7954749447269356e-10,1.2660789959389736e-08,-0.000500781059363031
48,1.2065506580197747,1.4072190141620014e-06,6.365260113940101e-09,-0.001654443303684066
49,1.209812427564033,1.5701455728657847e-06,7.735791275650481e-09,-0.0015263280248253388
50,1.2105692327114603,1.6386583361735504e-06,8.251516239468871e-09,-0.0014738440773846883
